date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Jun 10 2018 - 2:00pm,Austria,Brazil,0,3,2,36,64,3,11,0,1,0,7,16,13,7
Jun 11 2018 - 1:30pm,Senegal,South Korea,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jun 11 2018 - 6:45pm,Belgium,Costa Rica,4,1,0,63,37,10,2,0,1,0,20,3,5,12
Jun 12 2018 - 1:05pm,Japan,Paraguay,4,2,0,51,49,7,4,0,0,0,12,5,14,14
Jun 12 2018 - 4:00pm,Poland,Lithuania,4,0,1,57,43,8,3,0,1,0,15,7,10,12
Aug 04 2018 - 2:00pm,Palestine,Iraq,0,3,0,51,49,4,5,0,2,0,8,7,10,4
Aug 16 2018 - 12:00am,Guatemala,Cuba,3,0,2,58,42,8,3,0,1,0,10,6,13,12
Aug 18 2018 - 4:00pm,Andorra,UAE,0,0,0,27,73,0,2,0,0,0,4,2,15,13
Aug 19 2018 - 2:00am,Guatemala,Cuba,1,0,2,50,50,5,2,0,1,0,8,9,19,14
Aug 21 2018 - 12:00am,Barbados,Jamaica,2,2,2,37,63,4,7,0,0,0,6,18,13,8
Aug 26 2018 - 11:00pm,Barbados,Cuba,0,0,4,50,50,3,3,0,3,0,6,8,24,22
Aug 30 2018 - 12:00am,Barbados,Cuba,0,2,4,46,54,3,3,1,2,1,6,8,16,18
Sep 05 2018 - 6:45pm,Slovakia,Denmark,3,0,0,66,34,12,2,0,0,0,21,5,7,13
Sep 06 2018 - 2:00pm,Bahrain,Philippines,1,1,2,50,50,3,2,0,3,0,14,4,20,18
Sep 06 2018 - 2:00pm,Kyrgyzstan,Palestine,1,1,1,50,50,7,9,0,1,1,18,15,10,7
Sep 06 2018 - 3:00pm,Uzbekistan,Syria,1,1,1,45,55,7,10,0,1,0,11,25,16,6
